title,date,time,performers,image_url
Sammy Obeid,Unknown,05:00 PM,"05:00 PM, from $39.00, Buy Tickets",/uploads/files/event-images/Sammy23.jpg
Laugh Sabbath,Unknown,09:30 PM,"09:30 PM, from $18.00, Buy Tickets",/uploads/files/event-images/sabb.jpg
Friday Features,Unknown,08:00 PM,"08:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/2025%20friday%20features%20(1920%20x%201080%20px).png
Cindy-Ann Boisson,Unknown,07:00 PM,"07:00 PM, from $45.75, Buy Tickets",/uploads/files/event-images/image0%20(59).jpg
Space Cadet by Varun Thakur,Unknown,07:00 PM,"07:00 PM, from $35.00, Buy Tickets",/uploads/files/event-images/1080x1350_post%20(1).jpg
Dan Davies,Unknown,07:00 PM,"07:00 PM, from $24.00, Buy Tickets",/uploads/files/event-images/Dan%20Davies.png
Fabrizio Copano,Unknown,07:00 PM,"07:00 PM, from $44.25, Buy Tickets",/uploads/files/event-images/post%20facebook_1080x1080%20(3).png
Nice Time,Unknown,08:00 PM,"08:00 PM, from $10.00, Buy Tickets",/uploads/files/event-images/New%20Nice%20Time.jpg
BLOOMIN FUNYUNS,Unknown,07:30 PM,"07:30 PM, from $23.00, Buy Tickets",/uploads/files/event-images/bloominnew.png
"Unhinged: Your dating profile, improvised.",Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/UNHINGED%202025.png
Advanced Improv Drop-In,Unknown,08:00 PM,"08:00 PM, from $0.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Shuler King,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/SHULER%20UPDATED%20HEADSHOT.jpg
Amateur Contender Series,Unknown,08:30 PM,"08:30 PM, from $16.00, Buy Tickets",/uploads/files/event-images/Amatuer%20Contender%20Series.png
HYPE,Unknown,08:00 PM,"08:00 PM, from $18.00, Buy Tickets",/uploads/files/event-images/Hype%20Aug20%20Base%2002.jpg
Deep Dish,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/DEEP%20DISH_HAROLD.jpg
The Best Comedians Tonight,Unknown,08:30 PM,"08:30 PM, from $22.00, Buy Tickets",/uploads/files/event-images/2926742.jpg
Sophie Buddle,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/sophie%20resized%20headshot.jpg
Yee-Ha! Comedy,Unknown,08:00 PM,"08:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/YEEHA%20IG%20Post%20(1).png
Ashwyn Singh Live in Montreal,Unknown,07:00 PM,"07:00 PM, from $29.00, Buy Tickets",/uploads/files/event-images/JC%20Arts%20186.jpg
Break Point Comedy,Unknown,07:00 PM,"07:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/Instagram%20Post%20Faces%20(1x1)%20(1).png
THE HEADLINER,Unknown,07:00 PM,"07:00 PM, from $22.00, Buy Tickets",/uploads/files/event-images/ADAM%20HEADLINER%20(1).png
COMEDY BAR’S HOT MIC,Unknown,08:30 PM,"08:30 PM, from $13.00, Buy Tickets",/uploads/files/event-images/CB-STUDENT-HOT-MIC%20(1).jpg
MOSTLY ITALIAN COMEDY SHOW,Unknown,07:00 PM,"07:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/Design-Studio-2025-06-30%20(1).png
Comedy Bar’s Main Event,Unknown,09:00 PM,"09:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/MAIN%20EVENT!%20(1920%20x%201080%20px)%20(1).png
Galen’s Grocer,Unknown,09:00 PM,"09:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/1000016430.jpg
Kulture Shock Comedy,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/KSposter.png
Frenchy: Live in Canada,Unknown,07:00 PM,"07:00 PM, from $45.75, Buy Tickets",/uploads/files/event-images/FrenchyCan%20nodate.png
We Might Need Therapy,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/We%20Might%20Need%20Therapy%20fri%20may%2024th%20(3).png
ALL SORTS of funny friends,Unknown,09:00 PM,"09:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/1%20(3).jpg
The Comedy Hour - Desi Edition,Unknown,08:30 PM,"08:30 PM, from $20.00, Buy Tickets",/uploads/files/event-images/Sep%207%20Show.png
Gluten Free Comedy,Unknown,08:30 PM,"08:30 PM, from $20.00, Buy Tickets",/uploads/files/event-images/EB9D6566-7F98-47A1-8C52-92C5D4E52166.png
The Setup at Comedy Bar,Unknown,07:00 PM,"07:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
The Roll Players,Unknown,08:30 PM,"08:30 PM, from $20.00, Buy Tickets",/uploads/files/RollPlayers_Comm-PosterPrint_v2.jpg
Wednesday Night Live,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/1000037035.jpg
Fumi Abe,Unknown,07:00 PM,"07:00 PM, from $30.75, Buy Tickets",/uploads/files/event-images/ABE_FUMI.png
Insufferable with Bee Bertrand and Cleo Vaillancourt,Unknown,07:00 PM,"07:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/WebsitePoster.png
Wheel Of Comedy,Unknown,09:30 PM,"09:30 PM, from $15.00, Buy Tickets",/uploads/files/event-images/IMG_4876.jpg
Thirst Trap,Unknown,08:30 PM,"08:30 PM, from $25.00, Buy Tickets",/uploads/files/event-images/thirsttrapinsta2021-01.png
Randy Feltface,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/RANDY%20PRESS%20IMAGE.jpg
TGIF (Thank God It’s Funny),Unknown,09:30 PM,"09:30 PM, from $23.00, Buy Tickets",/uploads/files/event-images/TGIFunny%20Show%20Poster.jpg
COMEDY SLAM,Unknown,09:30 PM,"09:30 PM, from $10.00, Buy Tickets",/uploads/files/event-images/Comedy%20Slam%20Option%201%20Grey%20copy.jpg
Che Durena,Unknown,08:30 PM,"08:30 PM, from $48.25, Buy Tickets",/uploads/files/event-images/post%20facebook_1080x1080%20(1).png
Chaotic Good,Unknown,11:00 PM,"11:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/24252552.png
Kyle Kinane,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/Kyle%20Kinane%20Head%20Shot.jpg
Hassan Phills presents: Work In Progress,Unknown,05:00 PM,"05:00 PM, from $28.00, Buy Tickets",/uploads/files/event-images/HassanAugust.jpg
Toronto Comedy All Stars,Unknown,11:00 PM,"11:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/TCAS%20Flame%20Wise%20Transparent%20Logo%20Black%20BG.png
TACNA Comedy Night,Unknown,07:00 PM,"07:00 PM, from $13.27, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Don’t Lie…You Were Thinking It Too!,Unknown,07:00 PM,"07:00 PM, from $23.30, Buy Tickets",/uploads/files/event-images/PHOTO-2025-07-11-21-33-49.jpg
Date Night Drop-In,Unknown,06:00 PM,"06:00 PM, from $0.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Ashwyn Singh,Unknown,07:00 PM,"07:00 PM, from $30.75, Buy Tickets",/uploads/files/event-images/USE%20Ashwyn%20Singh%20HEADSHOT.jpg
THREESOME,Unknown,08:30 PM,"08:30 PM, from $25.00, Buy Tickets",/uploads/files/event-images/RD---THREESOME---POSTER-GENERIC.jpg
The Match,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/the%20match%20insta.jpg
Andrew Barr Special Recording,Unknown,08:00 PM,"08:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/AB-13th-hour__STORIES.png
Hump Day Comedy,Unknown,08:00 PM,"08:00 PM, from $18.00, Buy Tickets",/uploads/files/event-images/Gay%20AF%20Hump%20Day%20Square%20August%206th%202025.jpg
Roast Battle Toronto,Unknown,11:00 PM,"11:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/RBTO%20FlameWiseInk%20Logo.png
Laura Peek,Unknown,07:30 PM,"07:30 PM, from $30.75, Buy Tickets",/uploads/files/event-images/Laura%20photo.png
QUEMADOS,Unknown,06:30 PM,"06:30 PM, from $30.00, Buy Tickets",/uploads/files/event-images/JFL_Website_1080x1080px.jpg
Gaspare Randazzo,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/IMG_8499.png
Ian Fidance,Unknown,09:00 PM,"09:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/New%20Ian%20Fidance%20HEADSHOT.JPG
After Hours with Ryan Belleville,Unknown,04:00 PM,"04:00 PM, from $0.00, Buy Tickets",/uploads/files/event-images/Screenshot_20250418_161036_WhatsApp.jpg
Mike Rita - BIG In Little Portugal,Unknown,07:00 PM,"07:00 PM, from $40.75, Buy Tickets",/uploads/files/event-images/1000036355.png
Hidden Leaf Laughs,Unknown,08:30 PM,"08:30 PM, from $25.00, Buy Tickets",/uploads/files/event-images/HLL_Poster%20(18%20x%2024%20in).png
Sunthar V - Millennial Trauma + Gen Z Drama,Unknown,09:00 PM,"09:00 PM, from $35.00, Buy Tickets",/uploads/files/event-images/Sunthar%20V%20&%20me2chat%20(3).png
Vicky Mullaley OR ELSE – Album Warm-Up Show,Unknown,08:30 PM,"08:30 PM, from $25.00, Buy Tickets",/uploads/files/event-images/Vicky%20Mullaley_ComedyBarPoster.png
STUDIO SUNDAYS,Unknown,07:30 PM,"07:30 PM, from $13.00, Buy Tickets",/uploads/files/event-images/Studio%20Sundays%202025.png
Steve Byrne,Unknown,07:00 PM,"07:00 PM, from $30.75, Buy Tickets",/uploads/files/event-images/stevebyrne.jpg
Age Against The Machine,Unknown,05:00 PM,"05:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/Age%20contra%20the%20machine%20copy%204.jpg
Late Mic T.O.,Unknown,10:00 PM,"10:00 PM, from $10.00, Buy Tickets",/uploads/files/event-images/LateMic_Sundays10.jpg
LIAM CULLAGH,Unknown,07:00 PM,"07:00 PM, from $32.75, Buy Tickets",/uploads/files/event-images/Liam%20Cullagh%20Headshot.png
An Evening of Improv with The Monkey Toast Players,Unknown,07:00 PM,"07:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/25-03-17_MT_Poster_Final.png
Shafi Hossain,Unknown,07:30 PM,"07:30 PM, from $40.75, Buy Tickets",/uploads/files/event-images/7e8956c0_original.jpg
Ron Funches,Unknown,07:00 PM,"07:00 PM, from $48.25, Buy Tickets",/uploads/files/event-images/post%20facebook_1080x1080.png
Burnin’ Up,Unknown,09:30 PM,"09:30 PM, from $15.00, Buy Tickets",/uploads/files/event-images/Burnin%20Up%20-%2011x17%20HIGH%20RES.jpg
Judge Mintz,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/JM%20POSTER%20GENERIC.jpg
STAND-UP DROP-IN,Unknown,06:00 PM,"06:00 PM, from $0.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Austin Nasso,Unknown,07:00 PM,"07:00 PM, from $31.75, Buy Tickets",/uploads/files/event-images/Austin%20Nasso%20Headshot%20Medium.png
East Side Story!,Unknown,09:30 PM,"09:30 PM, from $15.00, Buy Tickets",/uploads/files/event-images/EAST%20SIDE%20STORY_V2.jpg
A Night At The Drive In: Presented By The Crab People,Unknown,09:00 PM,"09:00 PM, from $10.00, Buy Tickets",/uploads/files/event-images/ANightAtTheDrivIn_Poster_Aug17%20(1).png
DEVON WALKER,Unknown,09:00 PM,"09:00 PM, from $30.75, Buy Tickets",/uploads/files/event-images/35676543.png
Geoffrey Asmus,Unknown,07:00 PM,"07:00 PM, from $40.75, Buy Tickets",/uploads/files/event-images/geofffret8932.jpg
Hari Kondabolu,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/DSCF0261-2-Headshot-2-scaled.jpg
Sean McLoughlin,Unknown,08:30 PM,"08:30 PM, from $24.00, Buy Tickets",/uploads/files/event-images/sean%20m%20(1).jpg
SHRIMP DADDY,Unknown,08:30 PM,"08:30 PM, from $20.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Graham Kay: “A Comedy Show Near Me”,Unknown,09:00 PM,"09:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/IMG_9332.jpg
COLUM TYRRELL,Unknown,07:30 PM,"07:30 PM, from $35.75, Buy Tickets",/uploads/files/event-images/Colum%20Tyrrell%20Headshot%20(1).jpg
Laugh it Off with Andrew Packer,Unknown,11:00 PM,"11:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/Laugh%20It%20Off%20-%20POSTER.jpg
Nour Hadidi & Friends,Unknown,10:00 PM,"10:00 PM, from $28.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Ghost Orgy,Unknown,10:00 PM,"10:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/Comedy%20Bar%20Friday%20October%207th%20830%20PM%2025-6.png
Andy Hendrickson,Unknown,07:00 PM,"07:00 PM, from $28.77, Buy Tickets",/uploads/files/event-images/Andy%20Hendrickson%20Photo%201.jpg
Aaron Weber,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/AARON%20WEBER%20Photo.jpg
Catch23,Unknown,09:00 PM,"09:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/CB-C23-v2-LOW-RES%20(1)%20(1).jpg
The New Show with Mark Forward,Unknown,08:30 PM,"08:30 PM, from $20.00, Buy Tickets",/uploads/files/event-images/IMG_4172.png
Three Headed Monster,Unknown,09:30 PM,"09:30 PM, from $15.00, Buy Tickets",/uploads/files/event-images/3%20HEAD%20MONSTER.jpg
The Muslim Girl Show,Unknown,07:00 PM,"07:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/IMG_1184.jpg
In Rod We Trust,Unknown,07:00 PM,"07:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/5658545.png
Cashprov,Unknown,09:30 PM,"09:30 PM, from $15.00, Buy Tickets",/uploads/files/event-images/Cashprov%20Every%20Wednesday.png
Pat McGann,Unknown,07:00 PM,"07:00 PM, from $45.75, Buy Tickets",/uploads/files/event-images/PMG%20HEADSHOT%20(1).jpg
The 2 Degrees LIVE,Unknown,09:30 PM,"09:30 PM, from $15.00, Buy Tickets",/uploads/files/event-images/Screenshot_20250110_011402_TikTok.jpg
The Perfect Heist,Unknown,08:30 PM,"08:30 PM, from $10.00, Buy Tickets",/uploads/files/event-images/image0%20(61).jpg
Saturday Night Showcase,Unknown,09:30 PM,"09:30 PM, from $23.00, Buy Tickets",/uploads/files/event-images/saturday%20night%20showcase%20(1920%20x%201080%20px).png
Change the Channel,Unknown,08:00 PM,"08:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/CHANGE%20THE%20CHANNEL%20-%20Aug%2026.jpg
Monty Franklin - ‘Is That Your Mate’ 2025 World Tour,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/IMG_0787.JPG
ALL GOOD COMEDY,Unknown,10:00 PM,"10:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/Design-Studio-2025-06-28.png
Andrew & David are trying!,Unknown,07:00 PM,"07:00 PM, from $18.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Langston Kerman,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/1269999.png
The Music Show,Unknown,09:30 PM,"09:30 PM, from $10.00, Buy Tickets",/uploads/files/event-images/IMG_3797.png
Double Down,Unknown,10:00 PM,"10:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/Yaw_Comedy%20Poster_v2-01.jpg
Rat Race and Friends,Unknown,08:00 PM,"08:00 PM, from $12.00, Buy Tickets",/uploads/files/event-images/ratraceandfriends.png
TWO DYKES AND A MIC: GOING HOG WILD,Unknown,07:00 PM,"07:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/Tour%20Photo%20-%20Going%20Hog%20Wild.JPG
Just FOUR Laughs,Unknown,07:00 PM,"07:00 PM, from $26.00, Buy Tickets",/uploads/files/event-images/Just%20Four%20Laughs%20-%20monthly.png
Jay Jurden,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/JayJurden%20Headshot.jpg
STUDIO WEDNESDAYS,Unknown,08:30 PM,"08:30 PM, from $13.00, Buy Tickets",/uploads/files/event-images/Studio%20Wednesdays%202025.png
Canadian Famous,Unknown,10:00 PM,"10:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/56545644.png
Latin Laugh Sunday,Unknown,08:00 PM,"08:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/Design-Studio-2025-06-28%20(1).png
STUDIO MONDAYS,Unknown,08:30 PM,"08:30 PM, from $13.00, Buy Tickets",/uploads/files/event-images/Studio%20Mondays%202025.png
The After Party,Unknown,07:30 PM,"07:30 PM, from $15.00, Buy Tickets",/uploads/files/event-images/The%20AFter%20Party.png
Gina Yashere,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/_MG_4447.CR2.jpg
Sex T-Rex presents: D&D Live!,Unknown,07:00 PM,"07:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/36323020_1635034803258653_3180928074489266176_n.jpg
Save The Date,Unknown,07:30 PM,"07:30 PM, from $10.00, Buy Tickets",/uploads/files/event-images/IMG_3796.png
Shameless in the 6ix,Unknown,11:00 PM,"11:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/KL-SHAMELESS-6ix__POSTER%20(1).png
Standup on Sunday,Unknown,09:00 PM,"09:00 PM, from $24.00, Buy Tickets",/uploads/files/event-images/SOS-2024-1500X1500-ad-generic-v1.jpg
Rick Glassman,Unknown,07:00 PM,"07:00 PM, from $34.75, Buy Tickets",/uploads/files/event-images/Rick%20Glassman%20Headshot.png
Brittany Schmitt,Unknown,09:00 PM,"09:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/Brittany%20Schmitt%202.jpg
The Comedy Hour,Unknown,08:30 PM,"08:30 PM, from $20.00, Buy Tickets",/uploads/files/event-images/Sep%2014%20Show.png
The Pro Show,Unknown,09:00 PM,"09:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/THE%20PRO%20SHOW%20-%20Main%20Poster.jpg
CRUSH CHRISTMAS,Unknown,08:00 PM,"08:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/CrushCity_xmas_v2@2x.jpg
Coming of Rage,Unknown,07:00 PM,"07:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/Great%20(1).png
YOU HEARD IT HERE FIRST,Unknown,09:30 PM,"09:30 PM, from $10.00, Buy Tickets",/uploads/files/event-images/YHIHF.jpg
Andy Haynes,Unknown,07:00 PM,"07:00 PM, from $28.77, Buy Tickets",/uploads/files/event-images/Andy%20Haynes%20headshot%20(1).jpg
The Cat Rat Show,Unknown,09:00 PM,"09:00 PM, from $18.00, Buy Tickets",/uploads/files/event-images/70297C77-BE54-4225-82A9-7468A799FE20.png
Certified Laughs,Unknown,08:00 PM,"08:00 PM, from $23.00, Buy Tickets",/uploads/files/event-images/certified%20generic.png
Emily Catalano,Unknown,07:00 PM,"07:00 PM, from $35.75, Buy Tickets",/uploads/files/event-images/Jon-W-Johnson.png
Deric Cahill,Unknown,07:00 PM,"07:00 PM, from $30.75, Buy Tickets",/uploads/files/event-images/DERIC%20HEADSHOT%20COLOR.jpg
Saturday Night F.O.M.O,Unknown,07:00 PM,"07:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/NEW%20FOMO%20Poster.png
INSTANT CLASSIC,Unknown,10:30 PM,"10:30 PM, from $10.00, Buy Tickets",/uploads/files/event-images/Instant%20Classic%20Poster%20New.jpg
Alistair Ogden,Unknown,07:00 PM,"07:00 PM, from $30.75, Buy Tickets",/uploads/files/event-images/Ramy%20Arida%20Headshot%202024%20(1).jpg
Gavin Matts,Unknown,07:00 PM,"07:00 PM, from $37.75, Buy Tickets",/uploads/files/event-images/post%20facebook_1080x1080%20(5).png
Theatresports Presents: Globehead 2025,Unknown,07:00 PM,"07:00 PM, from $15.00, Buy Tickets",/uploads/files/event-images/79843184.png
Experiment! Experiment!,Unknown,10:00 PM,"10:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/Experiment%20poster%20for%20site%20.png
IMPROV DROP-IN,Unknown,07:30 PM,"07:30 PM, from $0.00, Buy Tickets",/uploads/files/event-images/Copy%20of%20CB_LOGO_UNDERLINE_TORONTO_CANADA.png
Todd Barry,Unknown,07:00 PM,"07:00 PM, from $44.25, Buy Tickets",/uploads/files/event-images/post%20facebook_1080x1080%20(4).png
Mundial De Comedia – Roast Latino,Unknown,07:00 PM,"07:00 PM, from $25.00, Buy Tickets",/uploads/files/event-images/aug10roastlatino.png
Singles Comedy Night,Unknown,07:00 PM,"07:00 PM, from $20.00, Buy Tickets",/uploads/files/event-images/Comedy%20singles%202025%20KP%20square%20c%20(1).jpg
